,Task,Buffer,TestCase,SVAR,Def-Use,Plnv
0,2.0,1.0,1.0,7.77000777000777e-05,0.027777777777777776,0.1111111111111111
1,15.0,1.0,23.0,0.0696310312204352,0.10256410256410256,0.3783783783783784
2,4.0,1.0,1.0,7.77000777000777e-05,0.014705882352941176,0.11428571428571428
3,6.0,1.0,1.0,7.77000777000777e-05,0.01,0.11033681765389082
4,8.0,1.0,43.0,0.0005106005106005106,0.045454545454545456,0.21271929824561403
5,10.0,1.0,1.0,0.0005184929139301763,0.00946969696969697,0.1304623179227359
6,12.0,1.0,1.0,7.77000777000777e-05,0.00510204081632653,0.10914927768860354
7,14.0,1.0,1.0,7.77000777000777e-05,0.0043859649122807015,0.10874635568513119
8,16.0,1.0,1416.0,0.010107222334614606,0.19215686274509805,0.40877016129032256
9,18.0,1.0,1.0,0.08471760797342193,0.03557312252964427,0.14351005484460694
