,Task,Buffer,TestCase,SVAR,Def-Use,Plnv
0,2.0,2.0,1.0,0.07692307692307693,0.2222222222222222,0.2727272727272727
1,20.0,2.0,24.0,0.16833397460561755,0.04801097393689986,0.49112950916617387
2,4.0,2.0,6.0,0.20430107526881722,0.2222222222222222,0.5230769230769231
3,6.0,2.0,6.0,0.17475728155339806,0.1388888888888889,0.5070422535211268
4,8.0,2.0,6.0,0.16442048517520216,0.09917355371900827,0.45219123505976094
5,10.0,2.0,13.0,0.16897081413210446,0.09183673469387756,0.49533799533799533
6,12.0,2.0,13.0,0.16375545851528384,0.07352941176470588,0.49834437086092714
7,14.0,2.0,13.0,0.16058394160583941,0.060941828254847646,0.468557336621455
8,16.0,2.0,13.0,0.13485113835376533,0.049586776859504134,0.435759209344115
9,18.0,2.0,13.0,0.13286384976525822,0.043333333333333335,0.4379509379509379
