,SYN,Task,Buffer,TestCase,SVAR,Def-Use,Plnv,Race,Task,Buffer,TestCase,SVAR,Def-Use,Plnv,Race
0,4.0,2.0,1.0,1.0,0.014285714285714285,0.1,0.2,0.0,2.0,1.0,1.0,0.014285714285714285,0.1,0.2,0.0
2,8.0,4.0,1.0,1.0,0.014285714285714285,0.05555555555555555,0.23076923076923078,0.0,4.0,1.0,1.0,0.014285714285714285,0.05555555555555555,0.23076923076923078,0.0
3,12.0,6.0,1.0,1.0,0.014285714285714285,0.038461538461538464,0.23809523809523808,0.0,6.0,1.0,1.0,0.014285714285714285,0.038461538461538464,0.23809523809523808,0.0
4,16.0,8.0,1.0,1.0,0.014285714285714285,0.029411764705882353,0.2413793103448276,0.0,8.0,1.0,1.0,0.014285714285714285,0.029411764705882353,0.2413793103448276,0.0
5,20.0,10.0,1.0,16.0,0.07809523809523809,0.05238095238095238,0.38198198198198197,6.0,10.0,1.0,4.0,0.024761904761904763,0.03333333333333333,0.2873873873873874,2.0
6,24.0,12.0,1.0,1.0,0.014285714285714285,0.02,0.24444444444444444,0.0,12.0,1.0,1.0,0.014285714285714285,0.02,0.24444444444444444,0.0
7,28.0,14.0,1.0,16.0,0.05996860282574568,0.03201970443349754,0.3463611859838275,6.0,14.0,1.0,4.0,0.02197802197802198,0.022167487684729065,0.27897574123989216,2.0
8,32.0,16.0,1.0,26.0,0.10476190476190476,0.07575757575757576,0.45799180327868855,16.0,16.0,1.0,6.0,0.02976190476190476,0.022727272727272728,0.34460382513661203,4.0
9,36.0,18.0,1.0,28.0,0.10382819794584501,0.07357357357357357,0.47987117552334946,20.0,18.0,1.0,7.0,0.031932773109243695,0.021021021021021023,0.35507246376811596,5.0
1,18.0,20.0,1.0,24.0,0.4192546583850932,0.09941520467836257,0.6859205776173285,6.0,20.0,1.0,10.0,0.3695652173913043,0.0935672514619883,0.6624548736462094,5.0
