,ID,Thread,Port,Event,Index,cstruct
0,r1,T3,9688008,recv,1,
1,r2,T9,9688008,recv,1,
2,r3,T1,9688008,recv,1,
3,r4,T2,9688008,recv,1,
4,r5,T5,9688008,recv,1,
5,r6,T6,9688008,recv,1,
6,r7,T7,9688008,recv,1,
7,r8,T8,9688008,recv,1,
8,r9,T4,9688008,recv,1,
9,r10,T1,9688008,recv,2,"['r3', 's3']"
10,r11,T2,9688008,recv,2,"['s4', 'r4']"
11,r12,T3,9688008,recv,2,"['r1', 's1']"
12,r13,T5,9688008,recv,2,"['r5', 's5']"
13,r14,T9,9688008,recv,2,"['r2', 's2']"
14,r15,T6,9688008,recv,2,"['s6', 'r6']"
15,r16,T7,9688008,recv,2,"['s7', 'r7']"
16,r17,T8,9688008,recv,2,"['r8', 's8']"
17,r18,T4,9688008,recv,2,"['s9', 'r9']"
18,r19,T1,9688008,recv,3,"['r3', 's1', 'r10', 's10', 's3']"
19,r20,T2,9688008,recv,3,"['s11', 's2', 's4', 'r4', 'r11']"
20,r21,T3,9688008,recv,3,"['s1', 's12', 's3', 'r1', 'r12']"
21,r22,T5,9688008,recv,3,"['r13', 's4', 's5', 's13', 'r5']"
22,r23,T9,9688008,recv,3,"['r2', 's2', 's14', 'r14', 's5']"
23,r24,T6,9688008,recv,3,"['s6', 'r15', 'r6', 's15']"
24,r25,T7,9688008,recv,3,"['r16', 's7', 'r7', 's16']"
25,r26,T8,9688008,recv,3,"['r8', 's8', 's17', 'r17']"
26,r27,T4,9688008,recv,3,"['s9', 'r18', 's18', 'r9']"
27,r28,T1,9688008,recv,4,"['r3', 's1', 's19', 'r10', 'r19', 's10', 's3']"
28,r29,T2,9688008,recv,4,"['s20', 's11', 's2', 's4', 'r20', 'r4', 'r11']"
29,r30,T3,9688008,recv,4,"['s21', 's1', 'r21', 's12', 's3', 'r1', 'r12']"
30,r31,T5,9688008,recv,4,"['r13', 's4', 'r22', 'r5', 's5', 's13', 's22']"
31,r32,T9,9688008,recv,4,"['s23', 'r2', 's2', 's14', 'r14', 'r23', 's5']"
32,r33,T6,9688008,recv,4,"['r15', 's15', 's24', 'r6', 's6', 'r24']"
33,r34,T7,9688008,recv,4,"['s25', 's16', 'r16', 's7', 'r25', 'r7']"
34,r35,T8,9688008,recv,4,"['s8', 'r26', 'r17', 'r8', 's26', 's17']"
35,r36,T4,9688008,recv,4,"['r18', 'r27', 'r9', 's9', 's27', 's18']"
36,r37,T1,9688008,recv,5,"['r3', 's1', 's19', 's3', 'r19', 'r10', 's28', 's10', 'r28']"
37,r38,T2,9688008,recv,5,"['s29', 's20', 's11', 'r29', 's2', 's4', 'r20', 'r4', 'r11']"
38,r39,T3,9688008,recv,5,"['s21', 's1', 's30', 'r21', 's12', 's3', 'r1', 'r30', 'r12']"
39,r40,T5,9688008,recv,5,"['s31', 'r13', 's4', 'r22', 'r5', 's5', 's13', 's22', 'r31']"
40,r41,T9,9688008,recv,5,"['s23', 'r2', 's2', 's14', 'r23', 'r14', 's5', 'r32', 's32']"
41,r42,T6,9688008,recv,5,"['s15', 's24', 'r15', 's33', 'r33', 'r6', 's6', 'r24']"
42,r43,T7,9688008,recv,5,"['s25', 's34', 's16', 's7', 'r25', 'r16', 'r34', 'r7']"
43,r44,T8,9688008,recv,5,"['s8', 'r26', 'r17', 'r8', 's35', 's26', 'r35', 's17']"
44,r45,T4,9688008,recv,5,"['r18', 'r27', 'r36', 'r9', 's9', 's36', 's27', 's18']"
45,r46,T1,9688008,recv,6,"['r3', 's1', 's19', 's3', 'r19', 'r10', 's28', 's10', 'r28', 'r37', 's37']"
46,r47,T2,9688008,recv,6,"['s38', 's29', 'r38', 's20', 's11', 'r29', 's2', 's4', 'r20', 'r4', 'r11']"
47,r48,T3,9688008,recv,6,"['r39', 's21', 's39', 's1', 's30', 'r21', 's12', 's3', 'r1', 'r30', 'r12']"
48,r49,T5,9688008,recv,6,"['r40', 's31', 'r13', 's4', 'r22', 'r5', 's5', 's40', 's13', 's22', 'r31']"
49,r50,T9,9688008,recv,6,"['r41', 's23', 'r2', 's2', 's14', 'r23', 'r14', 's5', 's32', 's41', 'r32']"
50,r51,T6,9688008,recv,6,"['s15', 's24', 's42', 'r15', 's33', 'r33', 'r42', 'r6', 's6', 'r24']"
51,r52,T7,9688008,recv,6,"['s25', 's34', 'r43', 's16', 's7', 'r25', 'r16', 'r34', 's43', 'r7']"
52,r53,T8,9688008,recv,6,"['s44', 's8', 'r26', 'r17', 'r8', 'r44', 's35', 's26', 'r35', 's17']"
53,r54,T1,9688008,recv,7,"['r3', 's1', 's46', 's19', 'r46', 's3', 'r19', 'r10', 's28', 's10', 'r28', 'r37', 's37']"
54,r55,T2,9688008,recv,7,"['s38', 's29', 'r38', 's20', 's11', 'r29', 's2', 'r47', 's4', 'r20', 's47', 'r4', 'r11']"
55,r56,T4,9688008,recv,6,"['r18', 'r27', 'r36', 'r45', 's45', 'r9', 's9', 's36', 's27', 's18']"
56,r57,T3,9688008,recv,7,"['r39', 's21', 's39', 'r12', 's1', 'r1', 's30', 'r21', 's12', 's3', 'r48', 'r30', 's48']"
57,r58,T5,9688008,recv,7,"['r40', 's31', 's49', 'r13', 's4', 'r22', 'r5', 's5', 's40', 's13', 's22', 'r31', 'r49']"
58,r59,T9,9688008,recv,7,"['r41', 's23', 's50', 'r2', 's2', 's14', 'r23', 'r14', 's5', 's32', 's41', 'r32', 'r50']"
59,r60,T6,9688008,recv,7,"['r51', 's15', 's24', 's42', 'r15', 's33', 'r33', 's51', 'r42', 'r6', 's6', 'r24']"
60,r61,T7,9688008,recv,7,"['r52', 's52', 's25', 's34', 'r43', 's16', 's7', 'r25', 'r16', 'r34', 's43', 'r7']"
61,r62,T8,9688008,recv,7,"['s44', 's8', 'r53', 'r26', 'r17', 'r8', 'r44', 's35', 's26', 'r35', 's17', 's53']"
62,r63,T1,9688008,recv,8,"['r3', 's46', 's45', 's10', 's36', 's27', 's54', 'r54', 's28', 's3', 'r37', 's37', 's19', 'r46', 's1', 'r19', 'r10', 'r28', 's9', 's18']"
63,r64,T2,9688008,recv,8,"['s38', 's29', 'r38', 's46', 'r55', 's10', 'r4', 's20', 'r20', 's47', 's28', 's55', 's37', 's2', 'r47', 's19', 's11', 'r29', 's1', 's4', 'r11']"
64,r65,T4,9688008,recv,7,"['s38', 's29', 's20', 's11', 'r18', 's2', 'r56', 'r36', 's56', 'r27', 'r45', 's45', 's47', 'r9', 's9', 's36', 's27', 's18']"
65,r66,T3,9688008,recv,8,"['r39', 's21', 's39', 'r12', 's1', 'r1', 's30', 's57', 'r21', 'r57', 's12', 's3', 'r48', 'r30', 's48']"
